Locale,Translated,Missing,Empty,Placeholders,Total_Missing,Completion_Rate
he,254,461,0,0,461,35.5
it,254,461,0,0,461,35.5
am,180,535,0,0,535,25.2
ar,180,535,0,0,535,25.2
bg,180,535,0,0,535,25.2
bn,180,535,0,0,535,25.2
bn_BD,180,535,0,0,535,25.2
bs,180,535,0,0,535,25.2
ca,180,535,0,0,535,25.2
cs,180,535,0,0,535,25.2
cy,180,535,0,0,535,25.2
da,180,535,0,0,535,25.2
es,180,535,0,0,535,25.2
es_419,180,535,0,0,535,25.2
et,180,535,0,0,535,25.2
eu,180,535,0,0,535,25.2
fa,180,535,0,0,535,25.2
fi,180,535,0,0,535,25.2
fo,180,535,0,0,535,25.2
fr,180,535,0,0,535,25.2
ga,180,535,0,0,535,25.2
gl,180,535,0,0,535,25.2
ha,180,535,0,0,535,25.2
hi,180,535,0,0,535,25.2
hr,180,535,0,0,535,25.2
hu,180,535,0,0,535,25.2
id,180,535,0,0,535,25.2
is,180,535,0,0,535,25.2
ja,180,535,0,0,535,25.2
ko,180,535,0,0,535,25.2
lt,180,535,0,0,535,25.2
lv,180,535,0,0,535,25.2
mk,180,535,0,0,535,25.2
ms,180,535,0,0,535,25.2
mt,180,535,0,0,535,25.2
nl,180,535,0,0,535,25.2
no,180,535,0,0,535,25.2
pl,180,535,0,0,535,25.2
pt,180,535,0,0,535,25.2
pt_BR,180,535,0,0,535,25.2
ro,180,535,0,0,535,25.2
ru,180,535,0,0,535,25.2
sk,180,535,0,0,535,25.2
sl,180,535,0,0,535,25.2
sq,180,535,0,0,535,25.2
sr,180,535,0,0,535,25.2
sv,180,535,0,0,535,25.2
th,180,535,0,0,535,25.2
tr,180,535,0,0,535,25.2
uk,180,535,0,0,535,25.2
ur,180,535,0,0,535,25.2
vi,180,535,0,0,535,25.2
zh,180,535,0,0,535,25.2
zh_Hant,180,535,0,0,535,25.2
de,172,543,0,0,543,24.1
